Accuracy,Precision,Recall,F1-score,AUC-ROC,Threshold,TP,FP,TN,FN,N_positives,Scenario,Plant,Seed
0.8321,0.1611,0.96,0.2759,0.9604,0.2359,48,250,1201,2,50,Local Only,Plant_A,42
0.8914,0.2073,0.8,0.3292,0.9194,0.3937,40,153,1298,10,50,Local Only,Plant_B,42
0.9087,0.2194,0.68,0.3317,0.873,0.5038,34,121,1330,16,50,Local Only,Plant_C,42
0.958,0.4286,0.78,0.5532,0.9569,0.7194,39,52,1399,11,50,FedAvg,Global,42
0.9667,0.5514,0.8121,0.6569,0.9813,0.7194,134,109,3926,31,165,FedAvg,Plant_A,42
0.9638,0.4224,0.8448,0.5632,0.9767,0.7194,49,67,1972,9,58,FedAvg,Plant_B,42
0.9672,0.375,0.8,0.5106,0.9218,0.7194,12,20,667,3,15,FedAvg,Plant_C,42
0.9054,0.2326,0.8,0.3604,0.9315,0.6597,40,132,1319,10,50,FedProx,Global,42
0.946,0.4094,0.8485,0.5523,0.9742,0.6597,140,202,3833,25,165,FedProx,Plant_A,42
0.865,0.1538,0.8621,0.2611,0.9463,0.6597,50,275,1764,8,58,FedProx,Plant_B,42
0.7934,0.0779,0.8,0.142,0.8954,0.6597,12,142,545,3,15,FedProx,Plant_C,42
0.928,0.2986,0.86,0.4433,0.9525,0.5432,43,101,1350,7,50,Centralized,Global,42
0.9627,0.4605,0.7,0.5556,0.9576,0.7814,35,41,1410,15,50,Local Only,Plant_A,123
0.8434,0.1661,0.92,0.2813,0.9501,0.2749,46,231,1220,4,50,Local Only,Plant_B,123
0.7808,0.1178,0.86,0.2072,0.9131,0.2315,43,322,1129,7,50,Local Only,Plant_C,123
0.952,0.3922,0.8,0.5263,0.9601,0.7124,40,62,1389,10,50,FedAvg,Global,123
0.9545,0.4591,0.8848,0.6046,0.9817,0.7124,146,172,3863,19,165,FedAvg,Plant_A,123
0.9547,0.3609,0.8276,0.5026,0.9745,0.7124,48,85,1954,10,58,FedAvg,Plant_B,123
0.9587,0.2812,0.6,0.383,0.9669,0.7124,9,23,664,6,15,FedAvg,Plant_C,123
0.934,0.3101,0.8,0.4469,0.9468,0.8421,40,89,1362,10,50,FedProx,Global,123
0.975,0.6442,0.8121,0.7185,0.9818,0.8421,134,74,3961,31,165,FedProx,Plant_A,123
0.8612,0.1522,0.8793,0.2595,0.9488,0.8421,51,284,1755,7,58,FedProx,Plant_B,123
0.953,0.25,0.6,0.3529,0.9562,0.8421,9,27,660,6,15,FedProx,Plant_C,123
0.97,0.5333,0.8,0.64,0.9668,0.8348,40,35,1416,10,50,Centralized,Global,123
0.8741,0.206,0.9231,0.3368,0.9615,0.3059,48,185,1264,4,52,Local Only,Plant_A,456
0.8514,0.1798,0.9231,0.3009,0.9483,0.2587,48,219,1230,4,52,Local Only,Plant_B,456
0.8201,0.1438,0.8462,0.2458,0.9098,0.1762,44,262,1187,8,52,Local Only,Plant_C,456
0.9114,0.2659,0.8846,0.4089,0.9624,0.4359,46,127,1322,6,52,FedAvg,Global,456
0.9107,0.2959,0.9329,0.4493,0.9753,0.4359,153,364,3672,11,164,FedAvg,Plant_A,456
0.9175,0.2374,0.8966,0.3755,0.973,0.4359,52,167,1872,6,58,FedAvg,Plant_B,456
0.9202,0.194,0.8667,0.3171,0.9744,0.4359,13,54,633,2,15,FedAvg,Plant_C,456
0.7921,0.1389,0.9615,0.2427,0.9527,0.1799,50,310,1139,2,52,FedProx,Global,456
0.8026,0.1604,0.9573,0.2747,0.9697,0.1799,157,822,3214,7,164,FedProx,Plant_A,456
0.7148,0.0859,0.9655,0.1577,0.9548,0.1799,56,596,1443,2,58,FedProx,Plant_B,456
0.7422,0.0765,1.0,0.1422,0.9642,0.1799,15,181,506,0,15,FedProx,Plant_C,456
0.8834,0.2192,0.9231,0.3542,0.9625,0.414,48,171,1278,4,52,Centralized,Global,456
0.93,0.2977,0.75,0.4262,0.9616,0.5221,39,92,1357,13,52,Local Only,Plant_A,789
0.9087,0.236,0.7308,0.3568,0.9379,0.4666,38,123,1326,14,52,Local Only,Plant_B,789
0.8734,0.1515,0.5769,0.24,0.8709,0.4879,30,168,1281,22,52,Local Only,Plant_C,789
