,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1-score,F1-score,AUC-ROC,AUC-ROC
,,mean,std,mean,std,mean,std,mean,std,mean,std
Scenario,Plant,,,,,,,,,,
Centralized,Global,0.927,0.0367,0.3409,0.1338,0.8659,0.048,0.4752,0.127,0.9665,0.0117
FedAvg,Global,0.9371,0.0186,0.3411,0.0677,0.8189,0.0606,0.4771,0.0627,0.9634,0.0078
FedAvg,Plant_A,0.9385,0.0222,0.4017,0.1027,0.8931,0.0486,0.5453,0.0839,0.9794,0.0026
FedAvg,Plant_B,0.9412,0.0183,0.3167,0.074,0.8621,0.0273,0.4584,0.0742,0.9745,0.0014
FedAvg,Plant_C,0.9436,0.02,0.2558,0.0785,0.7467,0.1095,0.3747,0.0874,0.9476,0.0317
FedProx,Global,0.8814,0.0539,0.2202,0.0619,0.8421,0.0783,0.3434,0.0734,0.9491,0.0129
FedProx,Plant_A,0.9143,0.0661,0.3752,0.1766,0.8859,0.0565,0.5028,0.1605,0.9759,0.0045
FedProx,Plant_B,0.8462,0.0753,0.1554,0.044,0.8897,0.0433,0.2617,0.0647,0.9555,0.0086
FedProx,Plant_C,0.7895,0.0956,0.1085,0.0792,0.8533,0.1592,0.1789,0.0976,0.9321,0.0346
Local Only,Plant_A,0.9082,0.0537,0.2955,0.1188,0.8426,0.1124,0.4195,0.1151,0.9649,0.0105
Local Only,Plant_B,0.8733,0.0272,0.1965,0.0269,0.8548,0.0856,0.3172,0.0286,0.9411,0.0131
Local Only,Plant_C,0.8531,0.0517,0.1641,0.0398,0.7446,0.1185,0.2653,0.0503,0.8928,0.02
